fold,model,rmse,mae,r2
0,PLS,1.652665134410078,1.2905280932434118,0.28915920892686486
0,SVR,1.2954442512828275,0.9652985782146578,0.5632428055407974
0,STACKED,1.2303418857798498,0.9618274046189469,0.6060380937641267
0,STRATIFIED,1.925636254585372,1.61117160198149,0.034947101855709706
1,PLS,1.6805016908323585,1.3570771523031038,0.45544660993742403
1,SVR,1.4044349951205588,0.9964682713454365,0.6196653935028174
1,STACKED,1.29807407106664,0.9470503689981428,0.6750911743014403
1,STRATIFIED,2.1792473326085338,1.8460770150855266,0.08425278896051613
2,PLS,1.5239093402378239,1.1952005948373965,0.48478509333472297
2,SVR,1.3764577008570915,0.964130048803315,0.5796646670638534
2,STACKED,1.2100847432059474,0.8755894908496783,0.675135894189278
2,STRATIFIED,2.020416746780429,1.6771467661901291,0.09436733751061899
3,PLS,1.7208773002615911,1.3929109806558673,0.3088400074880653
3,SVR,1.5078433254390293,1.101514892889056,0.46937071435598443
3,STACKED,1.41084495105032,1.0721747961041233,0.5354447676024537
3,STRATIFIED,2.0832626546490727,1.7808310430382648,-0.012900619112729661
4,PLS,1.7027837248493347,1.3768715358434855,0.31176313191794147
4,SVR,1.370234670579223,1.0305460697271684,0.5543346630765723
4,STACKED,1.322995988566554,1.0462682784101958,0.584533503988909
4,STRATIFIED,2.0197916272845116,1.6860066376567548,0.031650600401661344
